Score,Summary
0,Not as Advertised
0,My Cats Are Not Fans of the New Food
0,Nasty No flavor
0,Don't like it
0,stale product.
0,Warning!  WARNING!  -ALCOHOL SUGARS!
0,No Tea Flavor
0,Bad
0,Rip off Price
0,Tasteless but low calorie
0,Very Low quality
0,Not Banana Runts
0,These just don't do it for me as breath mints
0,CHANGED FORMULA MAKES CATS SICK!!!!
0,Price cannot be correct
0,Not Good
0,Furniture Polish Taste
0,Sad outcome
0,Don't Waste Your Money
0,Reeks like chemicals
0,Lie!!!!
0,Over priced chips and lack rice taste
0,So awful I can barely describe
0,Very Dissapointed
0,what quantity is it!
0,Never Arrived
0,AWFUL
0,Does not taste very good
0,No no
0,Bitter
0,Waste of money
0,MSG Ham Base
0,poor item packaging
0,Awful
0,disappointing
0,Look elsewhere for your whole grains
0,Maybe the worst chips ever.
0,Surprise 1  It's different...
0,"I have had better ""Jalapeno Kettle Chips"""
0,They changed the Chips now they taste horrible
0,Gone down hill
0,completely ripped off
0,STALE.  Beware buying these on special!
0,USED to be my favorite chips
0,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
0,Disgusting
0,Over-fried
0,VERY DISAPPOINTED
0,dripping in oil
0,Chips
0,Garbage
0,They're Not Madhouse Munchies!!!
0,Too SOUR!
0,AWFUL TASTE
0,"Kettle has sold out, the chips are horrible now"
0,The bags were damaged with holes and stains.
0,Kettle Chips Make Great Mouse Food
0,HORRIBLE I CANT BELIEVE THIS!
0,Kettle Brand Potato Chips - New York Cheddar
0,what happened? the recipe has changed
0,burns the skin off your lips
0,Expired stock
0,ONLY awful because SOMETIMES they are awful
0,How this could be good?
0,WRONG FLAVOR - got Country BBQ instead of Chili Chipotle
0,"The ""Organic"" Label is Misleading"
0,Disappointed!
0,Perhaps something was wrong with the batch...
0,Big Disappointment
0,Worst Frosting Ever
0,worst frosting ever
0,Cherrybrook Kitchen Vanilla Frosting
0,"Do Not Buy This ""Frosting"""
0,Perversion of taste
0,IT'S A LAXATIVE
0,Tao of Tea ...!Don't get it
0,Horrible .. dont buy it
0,NOT edible!
0,Not one but twice came broken.
0,If I could give a rating under one-star...
0,Horrid
0,Very Different taste from the 'Made in UK' or 'Made in India' version.
0,Not like other countries Cadbury
0,not for traditional caramel lovers
0,Really wanted to like these...
0,Something has changed
0,Not a Fan
0,ABSOLUTELY VILE!!!
0,Plastic in the food!
0,Runny and odd-tasting
0,FOUND SHREDDED PLASTIC IN THE BABY FOOD!!!!
0,Had to toss 9 out of 12 jars
0,the garbanzo beans in it give horrible gas
0,"Baby loves it, but there is plastic in it"
0,moms (and dads) beware of plastic in the food
0,K
0,OMG DO NOT BUY!!!
0,Not Hot
0,Not good
0,Buyer Beware!This product contains High Fructose Corn Syrup!
0,coffee beans
0,Yuk!
0,cookies were in crumbles
0,THIS IS NOT THE PRODUCT THAT I RECEIVED. THE ACTUAL PRODUCT MAY CARRY HEALTH RISKS FOR SOME COMSUMERS..
0,melted!!!
0,Gold Plated Cereal
0,awful
0,awful
0,Uncle rays without much taste
0,These sure don't taste like ketchup to me!
0,They were so good until more people bought them and now meh
0,PLEASE!!!!!Don't waste your money
0,Beefeaters Swizzles Tripe 7-8 inch PACK OF 6
0,NOT 6 pieces.
0,My cat hates it..
0,Arrived broken and isn't eligible for return?
0,Items in this Gift Basket were bad -- old and stale
0,Dried UP
0,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot
0,Vendor ripped off all of their cultures from other vendors
0,Must Have Been Spoiled
0,False Advertising
0,MADE IN CHINA
0,Not what I expected
0,Not as pictured
0,Shipping
0,YUCK
0,Over Rated (way over priced)Frozen meats
0,Not like the picture
0,What?  No ingredient list?
0,Can't detect the prickly pear
0,Horrible!
0,Waste of money
0,beer nuts
0,The flavor is gone
0,Not my best experience
0,"Warning: Reviews do not reflect actual product (Feb 19, 2012)"
0,"NOT what I originally ordered! BOO, amazon!"
0,Poor quality product
0,"Sorry, taste is not pleasing."
0,used to be my favorite
0,Worst Caviar Ever
0,Disappointing...
0,NOT 144 PACKETS!!  ONLY 12!!!!
0,not edible
0,Not very good
0,HORRIBLE.
0,weak coffee not good for a premium product and price
0,I never got it
0,Disgusting
0,These are absolutely revolting
0,cook & serve choc. fudge pudding
0,Worst cookies ever!!!!!
0,Horrible smell
0,Tasteless mess
0,product is great price is insane
0,No good . . .
0,Barely any chips in the bag!
0,Weird flavors....
0,disgusting
0,Not so great
0,They Have Been Around Forever But You Did Not Know It
0,Hidden sources of MSG in the ingredients
0,Awful
0,"TASTE AVERAGE, INSANELY EXPENSIVE"
0,"poor,poor packaging"
0,can't open
0,Save your money!
0,Caveat emptor! Disappointing
0,this gadget just doesn't do the job.
0,Inside of can corroded
0,Not Safe!
0,Tastes like mushy pineapple
0,"Rotten, spoiled taste and look!!"
0,Not really olive juice
0,Some Variety
0,Disappointing
0,Disappointed!!
1,Cough Medicine
1,poor taste
1,Taste is not so good.
1,nothing special
1,Low Carb Angel Food Puffs
1,Not for me
1,BROKEN BOTTLE BOTTOMS!
1,Altoids Smalls
1,Nearly killed the cats
1,Not a real tea
1,"Taste is neutral, quantity is DECEITFUL!"
1,Disappointed
1,"If you can't handle caffeine, this is not for you."
1,Disappointed!
1,Cat won't go near it!
1,70% of the chips in the bag are over cooked
1,Not  Very Creamy or Chivey...
1,Good and tangy
1,salt and vinegar chips
1,"Love Kettle Chips, but not this flavor!"
1,POTATO CHIPS
1,Kettle Chips
1,"Taste terrible, way too strong"
1,Not so good.
1,Bags O' Salt with chips added.
1,"Kettle Chips, Sea Salt"
1,Kettle Foods Spicy Thai Chips
1,Meh
1,"Not, my favorite chip"
1,Very Tasty - BUT BEWARE
1,$4 down the drain
1,"City Steam, not much steam in this brew."
1,not as easy as it looks
1,disappointment
1,Cute Item... but expired!
1,Odd Fake Flavor - Not Recommended
1,Funny taste
1,Doesn't taste as it should
1,Pocky sticks together
1,The chocolate ones are much better
1,"Cheaper Ingredients, Lowered Quality"
1,Break Easily
1,Baby didn't like it
1,Sass Tea
1,The most awful taste
1,"These are good, but ..."
1,"Not hot, not habanero"
1,a little too sweet
1,Nothing like actual Muesli
1,Contains trans fat and high fructose corn syrup
1,Have not tried product.... however...
1,Crumbled cookies are no fun to eat
1,No reaction....
1,Where's the vinegar?
1,"Ketchup powdery coating excessive, overdone gritty"
1,bland
1,Mostly dry
1,Kind of stale
1,What Happened
1,Got a chest cold with a nasty cough?????
1,too much red dye and too little taste.... other than that it is great-lol
1,Yuck!
1,"Not a lot of flavor, not a lot of chicken"
1,not good
1,Noodles not good
1,makes nasty loose poo!
1,Da Vinci sugar free Blueberry syrup
1,artificial flavor
1,Not so much...
1,"not bad, but I won't reorder"
1,Eh...
1,"Jittery, lacks body"
1,Didn't do well for my dog
1,Didn't care for the variety selections
1,Did not care for these. Only liked bbq. Wondering why these are best-sellers
1,Too salty
1,Beware hidden ingredients
1,"Pringles, instant coffee, and Stephen Baldwin"
1,Not impressed
1,I did not like the taste!
1,Didn't like the taste
1,We really didn't like these!
1,Too strong of flavors
1,Popchips vs Baked Lays? Baked Lays taste MUCH better.
1,get the salt and pepper box instead
1,too salty
1,My kids only liked one flavor!
1,overrated
1,Found the solution on how to open it
1,"Great concept, poor product"
1,"Too small, too hard to open"
1,"Great idea, such a pain to open and close"
1,"Works, but hard to open...Buy larger version instead of pod"
1,"Sorry Oprah, not one of my 'favorite things'"
1,Wilted hopes
1,The Picture is Misleading
1,Okay but some weird flavors
1,olive juice
1,It's not worth it!
1,Hard to control the quantity.
1,Sugar Bomb
1,ddjj
1,20 of the 35 were decaf...Disapointed
2,Hearty Oatmeal
2,Mushy
2,Same stuff
2,not ass kickin
2,Better price for this at Target
2,How much would you pay for a bag of chocolate pretzels?
2,Order only in cold weather
2,Natural Balance Lamb and Rice
2,INCREASED MY DOGS ITCHING
2,disappointing
2,It burns!
2,Bite sized
2,Ehhh...
2,Not the greatest tasting..
2,Banana Heads Not Banana Runts
2,Great product to help you sleep
2,It's ok
2,Sugarfree...
2,More Hot/Spicy than McCormick's Brand
2,Pok Chops
2,Manufacturing Problems Diminish Product
2,Thanks for the review Scott
2,too expensive
2,Not mild enough for me lol
2,Not sure
2,Doesn't taste that good but provides you the energy
2,arrived FAST
2,Penguin Pooper
2,Only good for ice
2,Wonderful idea-difficult to clean.
2,I wasn't that impressed
2,Disappointing
2,Love the product disappointed in the shipping.
2,"Honey Dijon leaves bad aftertaste, NY Cheddar are pretty good"
2,Heavy on the Vinegar
2,An Acquired Taste
2,Prefer other flavors
2,Vinegar... Not my taste!
2,boulder salt and malt vinegar chips are way better
2,Too Much Flavor
2,burnt
2,"Gaaak!  An ""extreme"" potato chip...!"
2,Not the Best
2,Not as good as the English sell
2,Good deal but close expiration date!
2,I dont know if...
2,Not low salt
2,Things you need to know
2,Ok but Miss Vickie's Are Better
2,"Do they have to ""bite back""?"
2,Kind of Bland
2,a bit on the stale side
2,Annie's Homegrown Organic Whole Wheat Shells & White Cheddar Macaroni & Cheese - 6 oz.
2,Note: Rating both coffee and seller
2,Where are the cranberries?
2,speedy shipping
2,Great chocolate...
2,is this serious??? 10 bucks??
2,"Overpriced, Even on Gold Box"
2,Even at $15 seems a little overpriced.
2,"Good sugarless gum, with stronger gum for better bubble blowing than other sugarless gums"
2,"Mediocre, but cheap"
2,not creamy...
2,Interesting info about baking soda
2,Chocolate was all melt
2,Be Very Berry Wary.
2,"Our twins love this one. With the subscription, the price is fair"
2,Repeated deliveries of broken jars.  Great product though
2,12% Protein and 50% Vitamin A
2,Too thin
2,Too runny...
2,Meh.  My daughter eats most everything else... this isn't her thing.
2,Not as yummy as Earth's Best's other flavors
2,A little more watery than other 2nd foods for EB
2,Great Paste BUT Way Overpriced like 3x more
2,Not healthy but they taste good
2,Smells like roses but no safety or freshness seal.
2,delicious truffle goodness!
2,Cereal is great.  Price is awful.
2,somewhat sweet
2,Not exactly as described
2,Too pricey
2,Not for my dogs...
2,It's decent
2,OPEN BAG OF CHIPS!!!
2,Good chips--nothing special
2,Quality white tea with added unusual flavors
2,"Low quality ingredients, but..."
2,Just ok
2,Not nearly as good as Bissinger's French Long
2,Bisphenol A
2,Mini Lollipops
2,Mini Mini is right!
2,Actually pretty good
2,Yum
2,Unimpressed
2,Mashed Taters
2,"Shipping by price, not weight?"
2,"Just OK, I guess that all canned crab is not that great"
2,a little to hard
2,Difficult to review.
2,"Only 6.4% Stevia Extract, but very good flavor"
2,meh
2,Great as a topping on your culinary creations
2,fishy little devils
2,Smaller Than Expected
2,It's Fast.  It's Food.
2,Not Bad
2,Neither great nor bad
2,THICK SOUP
2,"Okay price, fast easy meals"
2,It's OK
2,Bent in Delivery
2,Glorified Cup of Noodles
2,not bad but not too much flavor
2,We couldn't tell the difference in a blind taste test.
2,Just OK
2,"FiberGourmet Light Penne, 8-Ounce Boxes (Pack of 6)"
2,"Not bad, but it really is just a taste of thai"
2,Good flavor but...
2,Needs a little something
2,OKAY IN A PINCH...
2,Now containing gluten!
2,For $2.00 a box it's okay
2,chips
2,pretty good. not healthy like an apple but...
2,Taste yummy but watch out for yeast extract intolerance!
2,Quite delicious but not as good as real chips
2,"Great chips, poor packaging"
2,Can someone post some of the nutrition facts?
2,pretty good  - but won't buy again
2,They're Okay.......
2,Nothing special - Baked Lays taste better
2,Cross between Pringles and a rice cake. The bonus is they're all natural
2,If you're expecting full chip flavor reconsider getting another brand of chips.
2,Over Priced - Cheaper at Costco
2,Tasty but Salty
2,Not as good as I was lead to believe
2,weight?
2,NOT worth the online order NOR is cheap $$$!
2,good chips but....
2,Low calorie snack
2,Not My Type of Potato Chips.
2,I only like the plain ones
2,"Not bad, but not impressive! .8 oz equals about 15 chips."
2,Not bad But not great
2,taste is perfect....
2,popchips
2,"healthy, texture good, flavor strange"
2,partially good
2,"Taste alright, but normal chips are better"
2,Like slightly charred popcorn
2,A little hard to open
2,"keeps herbs fresh, looks nice--awkward to use"
2,Would be a great product....if it was easier to open
2,tropical fruit
2,Organic Fruit Review
2,White Flecks?
2,A taste that needs to be acquired...
2,Pok Chops
2,Just an FYI
2,"Good taste, way too hard."
3,"""Delight"" says it all"
3,Nice Taffy
3,fresh and greasy!
3,Great Bargain for the Price
3,Best of the Instant Oatmeals
3,Good Instant
3,satisfying
3,GOOD WAY TO START THE DAY....
3,Very good but next time I won't order the Variety Pack
3,You'll go nuts over Ass-Kickin' Peanuts.
3,Roasts up a smooth brew
3,Great
3,Great Support
3,TART!
3,Tastes great. Love Hot & Spicy. Bad price here.
3,"Tastes great, but is cheaper locally."
3,Nice snack
3,Good Licorice
3,tastes good
3,Not Bad
3,Great but not as good as it was back in the day as a teen
3,ReaLemon Juice from Amazon.
3,"relaxing, almost like something you smoke"
3,Never paid that much !
3,not bad for instant healthy coffee
3,"Nice little mints, but pricey."
3,A huge hit at the office!
3,Best by the case
3,DELICIOUS
3,High Quality... But it gave my dog wicked gas..
3,This is what you get in the store
3,Ahmad Tea
3,Best Energy Shot For Me
3,It's sugar..
3,Excellent but not perfect
3,Good product
3,Great product - weak packaging
3,This stuff works!!!
3,could use only once
3,Shipped great
3,"great for eating whole foods, clean with veggie brush"
3,Love the Fresh Food Feeder!!
3,Excellent Everyday Olive Oil
3,"Love Weavers, I am a fan."
3,Price surprise
3,A saving grace for Green Mountain Coffee...
3,Good Coffee
3,"not the highest quality, but good for the price."
3,Valentine gift winner
3,Good for Egg Allergy
3,These are Famous for a reason.
3,Hard
3,glad to find them in 1 oz size
3,"pretty good, could be better"
3,PUCKER UP
3,Quite good
3,A unique flavor for fans of Thai food
3,Very good.
3,"A delicious, crisp chip with good flavor"
3,Not quite the best...
3,want to gaain twenty pounds with no control whatsoever? Buy this!
3,"Good chips, more cheese"
3,Pretty good tasting chip
3,Yummy chips
3,Best sour cream & onion chip I've had
3,An addictive potato chip
3,Not bad but a little hard to get used to
3,Firm quality chip
3,"Tangy, spicy, and sweet- oh my!"
3,An indulgence with a bite
3,I like them.
3,Crisp
3,Spicy but good
3,"Great price, but not as tangy as I expected."
3,THESE ARE VERY GOOD
3,No salt Kettle chips.
3,Good chips
3,Spicy Thai
3,Pretty tasty and decently spiced. . . .
3,Delicious!
3,The chip with a kiss of salt
3,Best Chips Out There!
3,4 Stars for price and taste
3,Tangy and delicious snack
3,Tasty!
3,These chips are awesome if not best but....
3,kettle chips
3,Do not taste from bottle! Mix with vanilla for true flavor.
3,These weigh 46 oz. NOT 46 fluid ounces
3,"Good, but container could be better"
3,Great substitute sweetener
3,Organic yummy chips what more can you ask for
3,Very different flavor
3,tasty
3,Plocky's Sweet Smokey Chipotle Whole Grain Tortill...
3,Plocky's tortilla chips--tasty and healthy
3,"Tasty, but make sure you have gum"
3,Broken chips but tasty
3,Candy
3,A Surprising Find
3,Lots of pops!
3,"Good soy sauce, but not special. Mainly good as unique gift."
3,non GMO
3,One of the better T-Discs
3,Perfect Sampler of Milka Chocolate
3,Great candy my family loved it
3,"My sons 9 & 11 loved making this, as easy enough to do by themselves. With adult supervision any age can do this neat project."
3,Spongetastic!
3,Fun to paint
3,delicious
3,has a very good flavor
3,Happy Dogs
3,Nice flavorful tea for the purist black tea addict
3,soda
3,awsome
3,Delicious
3,great taste But size it smaller
3,Perfect Size
3,Pretty good overall
3,small but good
3,"Yummy, but small..."
3,Great snack
3,Beautiful presentation ...and a pretty good tea too!
3,Wonderful Tea!
3,Dessert to Them.  But is it Nutritional Enough?
3,"Good flavor, too runny though"
3,My baby's favorite 2nd stage food so far and great for constipation!
3,good for you but not best flavor
3,"Great taste for a picky baby, but very thin compared to others"
3,Our Baby Likes it
3,My daughter's favorite jarred food
3,My baby liked it
3,Allday Energy
3,Tasty Fruit
3,sassafrass tea
3,Good tasten tea.
3,Very Convenient and far better than instant coffee
3,Simple. Convenient
3,My dog loves these but....
3,Finally
3,Good product - better price elsewhere
3,Perfect for Espresso
3,Great Ingredients
3,"Great Taste, Okay Crunch"
3,Not quite Old Dutch but much better than Herr's
3,Uncle Ray's BBQ chips are the best!
3,Good brand of food
3,Smells like Heaven...
3,Who could say no to a blow pop!
3,jolokia salsa review
3,Spicy
3,"9 Lives Daily Essentials 15 pound bag cat food. Good food, good price."
3,Best Iced tea
3,Ok
3,"Slightly funny taste to begin with, but I can't stop eating them!"
3,"Cute, small lollipops, a few arrived broken"
3,Apple Cinnamon Muffins
3,Excellent Product
3,I like these!
3,yum yum yum!
3,Tasty and easy to make
3,Tasty
3,"Quick, easy, taste great"
3,A+
3,Au Gratin Potatoes
3,tasted ok.... a bit overpriced tho
3,They're pretty good.
3,Spray garlic!
3,"Good tea, bad bag"
3,Good training treat
3,"A GREAT TREAT, BUT WAY OVERPRICED SHIPPING CHARGES"
3,Mild Sweet And Salty Blend
3,Beer Nuts
3,The Price is Right
3,Gluten-free bliss!
3,Gluten Free Licorice
3,Good
3,tic tac solution
3,"Spectrum Naturals Walnut Oil, refined"
3,Tastes great in iced drinks
3,Best stevia product I've found
3,Sweetly satisfying...
3,"For the price, these are great for all. Even a crowd. Much better than the smaller FlavorIce."
3,Costa Rican Export Coffee
3,My aunt's favorite
3,shining star
3,"Tasty, Quick Meal"
3,Chicken and Rice ???
3,Chicken noodle
3,"So far, Donut Shop Classics are the best pods I've tried"
3,Yum
3,"Quick, easy and tasty!"
3,Yum!
3,Very good.
3,Prefer the whole slices
3,"Nice strength, maybe too much vanilla?"
3,Martha White Chocolate Chocolate Chip Muffin Mix
3,Good but way too expensive
3,Really good!
3,More than just a taste of Thai
3,Great gluten free quick fix meal
3,Gluten free goodness
3,Tasty and Easy
3,Very Good Thai Green Curry!!!
3,Great Dog Food
3,Loved all the flavor except salt and pepper!
3,Good as a sampler pack of the various flavors
3,Great chips - and tasty too
3,Great snacking alternative!
3,I like all but one
3,Pop0chips
3,Great for diet
3,A yummy alternative to high-fat chips!
3,Interesting... however I've found something else...
3,"Some are REALLY tasty, others a little ""chemical"" tasting"
3,YUM
3,Popchips
3,Pop Chips 6 flavor Variety Pack
3,YUM!
3,Delicious!
3,"Yummy, healthy snack!"
3,Great alternative to regular potato chips
3,Popchips are great!
3,Short and Sweet
3,Watch out- they are addictive
3,Good crunch & light taste
3,Delicious and The Right Amount
3,Pop Chips
3,great taste now in a 100 calorie bag
3,Great Chip
3,"Pop Chips, yum!"
3,'Healthy chips'
3,Satisfies the salty snack craving
3,So Good
3,"Tasty, Crunchy, and Filling"
3,zippy
3,Great guiltless snack
3,Good Snack Choice
3,pop chips
3,YUM
3,love em! so does my big fat belly
3,Not bad
3,"Love these, good variety pack"
3,Most flavors are very good
3,Great idea
3,So much easier!
3,A good dirty martini
3,Dirty Martini
3,sea salt
3,Mmmmmmm....Sooo good!!!
3,A close 2nd to the original hard candy
3,Delicious but pricey.
3,Good Basic Mix
3,"Good pancakes, lots of work"
4,Pretty delicious
4,Delicous
4,Great for training
4,Pop Chips...Yum!!!
4,Gotta Love Em
4,Great Item
4,Great Product
4,Delicious and additive
4,"New favorite munchies, found!"
4,Great chips!
4,Healthy & They LOVE It!
4,Delicious! Even For Those Who Dont Enjoy Healthy Food
4,Its GOOD!!!
4,great taste and has health benefits!
4,The best twice baked potatoes you'll ever have!
4,So Delicious...Yet my companions wont touch them.
4,Bird's Custard Powder
4,"Buy These, Eat These, Be Happy!"
4,Melts In Your Mouth
4,juicy jays
4,Great product
4,Taste great
4,OM NOM NOM NOM!
4,Great machine!
4,Fantastic Chicken Noodle soup
4,Next best thing to fresh tomatoes
4,Super Delicious!
4,These chips are addictive!
4,yum
4,Rudolph Gingerbread House
4,Excellent
4,Absolutely awesome!
4,"it's fabulous, but *not* from amazon!"
4,Lindt Pistachio Chocolate
4,WONDERFUL COOKIES
4,Lindt Pistachio Chocolate
4,Great product
4,I am buying more!
4,Liver Biscotti rules in our house
4,Love pop chips!
4,A great price!
4,The Best Hot Sauce in the World
4,The Best!
4,Wonderful!
4,This is great stuff
4,These chips will make you fat
4,Geat Product
4,Love these chips!
4,Always fresh
4,Make My Day
4,So Good!
4,Yummy
4,An Excellent Alternative to Artificial Sweetners
4,Amazing to the last bite.
4,juicy jays
4,Fantastic!
4,These are the best hash browns!!!!!!!!!!
4,Our guests love it!
4,VANILLA TOOTSIE ROLLS
4,Pop Chips Rule
4,Our ten year old doxie
4,"The Cat likes it, too!"
4,Pocky!!
4,My kids and I ate these up!!
4,"Award winning, awesome flavour!"
4,yummy for your tummy
4,Great deal
4,Great tasting green tea and such a great deal.
4,Tested by a trucker
4,easy to make also
4,Perfect mix for egg-allergic!
4,My Dogs Love This Treat
4,Great for training
4,Plocky's Rice and Beans Tortilla Chips
4,This is the stuff !!
4,High Quality My Dog Enjoys and My Budget Does Too!
4,Delicious
4,Sublime Fragrance and Taste
4,Best Chip Ever
4,Great product and good price
4,Perfect Pop Chips
4,perfect size!
4,ABSOLUTELY DELICIOUS!
4,Favorite thing about Brazil
4,Excellent Taste
4,My favorite Kettle Chip
4,Gets My Vote
4,Best Chips Ever
4,Popchips 6 Flavor Variety
4,TWIZZLERS
4,Great dog food
4,Adorable basket-makes nice presentation
4,Popchips
4,Way too salty
4,loooooooove them
4,So good!
4,yum
4,"One bite and you'll become a ""chippoisseur"""
4,The best
4,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product."
4,smiles
4,Great for teething
4,This is great dog food!
4,Hammer Nutrition 's Fizz Rocks!
4,Can't beat the taste.
4,Altoids Smalls-Wintergreen
4,The Best
4,Omaha Chicken and Stuffed Baked Potatoies
4,Vintage Tasting Coffee
4,Great tasting chips alternative
4,great chips
4,Kona for Tassimo
4,"CRISPY, CRUNCHY, AND ROBUST"
4,happily home
4,Excellent Product/Life Saver
4,Heavenly!
4,My cats love it
4,Margherita Pizza
4,Great product!
4,best babka
4,My Dogs Love It
4,Pop Chips = Great!!
4,Kona for Tassimo
4,I was able to eat bread again!
4,YUMMY!
4,Wish bone Fat Free Ranch Dressing
4,OMG! So Good!
4,"One bite and you'll become a ""chippoisseur"""
4,One of my Favoritte foods
4,"Dog Likes It, Great Value"
4,Best for Sweets :]
4,GOOD!
4,Cats love it!
4,WONDERFUL!!  This is perfect and saves me a fortune
4,"Fun ""popping-crispy"" sticks dipped in chocolate, special treat for manga fans, but find local or wait till fall"
4,Quality dog food delivered to your door!
4,Tastes awesome & looks beautiful
4,Amazing
4,Great for teething
4,Excellent tomatoes
4,LOVE THEM
4,Excellent
4,Great Snack!
4,chocolate liquor cups
4,Great Natural Potatoe Chips With Low Calories!
4,Works great!
4,Popchips Satisfy my Salt and Crunch Craving
4,Best Coffee!
4,Makes everything better
4,Loved the Oats!!
4,Nice tea...very strong cranberry flavor
4,The Puppy Dogs Love Them!
4,Crab Cakes Delight
4,Can't beat the taste.
4,Pop chips 6-flavor variety
4,"it's fabulous, but *not* from amazon!"
4,Yummie!
4,love this hot sauce
4,Best matcha quality and price
4,BUY ELSEWHERE
4,More Than A Little Mint
4,college student gourmet
4,Warm and Wonderful
4,These are AWESOME!
4,Yummie!
4,Too good to continue for long.
4,Heavenly!
4,Hard to find cereal found!
4,Soo GOOD!
4,Def a good buy
4,Best tea I ever had
4,"Fun ""popping-crispy"" sticks dipped in chocolate, special treat for manga fans, but find local or wait till fall"
4,Excellent service!
4,Def a good buy
4,Love it.
4,Pop Chips Rule
4,Enjoyable Green Tea
4,tasty!
4,Great taffy
4,this sauce is the shiznit
4,No broken creamers!
4,"Equidorian OJio Arriba Carillo ""RAW Oranic"" Cacao"
4,Yummie!
4,GREAT TASTING CHIPS
4,These definately are 5 stars.  Deeelicious
4,Perfect Pop Chips
4,Great deal
4,Can't find anywhere else!
4,mmmmmmmm...beer...nuts!
4,Good Stuff
4,Great Chips - Love the Salt & Vinegar
4,Handy
4,Great strong flavor
4,I was able to eat bread again!
4,Delicious!
4,best roast ever
4,Cherry good!
4,Favorite energy shot and all natural too!
4,Fabulous!
4,Yummmmy
4,"better than average, more expensive than average."
4,hard to find tea
4,"Tasty potato chips, low in calories, great flavor"
4,GREAT PURCHASE
4,YUMMY
4,yummy!
4,Wonderful for breakfast AND snacks!
4,Favorite thing about Brazil
4,Great
4,These chips tasted good
4,Looking for a different flavor?
4,Great Chips
4,GOOD!
4,Anti-Oxidant Smoothie
4,Best for on the road snacks and health
4,Where Has This Candy Been?
4,Best Chip Ever
4,Its GOOD!!!
4,Great Hot Sauce and people who run it!
4,Addicted
4,Best Ahmad Tea
4,Fresh - Whole.. perfect
4,"better than average, more expensive than average."
4,spicy thai chips
4,Great taste
4,High Quality My Dog Enjoys and My Budget Does Too!
4,Delicious and hard to find
4,Great taffy
4,Get Healthy Live Better and Longer
4,Greatest Oil since slice bread !!!!!!!
4,The best tortilla chips I have ever eaten!!
4,Love them!
4,Great Natural Potatoe Chips With Low Calories!
4,Delicious!
4,Strawberry Twizzlers - Yummy
4,Soo GOOD!
4,Definite POP - Not Baked or Fried
4,My Dogs Love This Treat
4,Fantastic!
4,Love pop chips!
4,awesome chips
4,My favorite tea
4,Great food!
4,I LUUUV me some POPCHIPS!!!
4,Best matcha quality and price
4,Son loves it
4,awesome cornmeal
4,Greatest Oil since slice bread !!!!!!!
4,Very good!!
4,Salt and Vinegar and BBQ rock!
4,Great little treats
4,Excellent Product/Life Saver
4,Best tea ever!
4,"Perfectly, naturally sweet!"
